contract_address,callstack,reentrancy,time_dependency,integer_underflow,integer_overflow,money_concurrency
0xac7cf81f3c99b491ae59db03a62dd05aea965209,False,False,False,False,False,False
0x7a65a9a004f02216a1abbf28f18c1c0168e85441,False,False,False,False,True,False
0xf2d3e4d17faf5f7128ef7a02b99ffb949ec1e5fe,False,False,False,False,False,False
0x15866531023d19690a1c04f503b6fa8566513200,False,False,False,True,False,False
0x93ec1a4547d7bd96f70508bf0d7f742063f1a368,False,False,False,False,True,False
0x62d687c16eb0242191f266ab5cdc4a066eb4dde9,False,False,False,False,True,False
0xe355c43beca0ebf19c335fbdbf25fda4b420b15d,False,True,False,False,False,True
0x91923993c4dc3e089bbb1fc9d4a5a765a479b68f,False,False,False,False,False,False
0x4d0acff37f22db94479feabbcfd0a54083adda5f,False,False,False,False,False,False
0xdcab5d235131b02ab93f7e9bf3daed22d464be8a,False,False,False,False,False,False
0xec3e45325e3303c0df5b58deaf553f333ebfb4a8,False,False,False,False,False,False
0x20b9418af1493d99082de7d3970c511b377566b4,False,True,False,False,False,True
0xa7b3fb4560d3bf5a60e65cf1614cb375e434d745,False,False,False,False,False,False
0xb6b7bafe2bdbb1d567e8c516ac3b32f92d1b70e7,False,False,False,False,False,False
0x0be58b1be28cc95b7a3f2f50d27810bee018c865,False,False,False,False,False,False
0xd640e5ab4a616ba087ce25e38dde367fa81c4b2f,False,False,True,False,False,True
0xea07c7e252a53ad04332e00ded16471d234a1086,False,True,False,False,False,True
0xac8b9227529a6892032088dd6a0cef2739f1d1b1,False,True,True,False,True,True
0x18ac33af231436f82be3be7061dcfd5fb4d165dd,False,True,False,False,False,True
0x2a1f8238f18f0a153503da24a0049f10c479b990,False,False,True,False,False,False
0x2fb4a9ea3a186e38a66ed8a845f0fd4c031a2805,False,False,False,False,False,False
0x43b85724d46b81e50c932f59475bed34d41b6019,False,True,False,False,False,True
0xec2059feaf2d294c1ae3d5388346fe36f448e039,False,False,False,False,False,True
0x404bf6720abc894aff4ba13c83dda240ef651e40,False,False,False,False,False,True
0xe21b119b5b8bdfa6c8daa3cc6963035c79c08999,False,False,False,False,False,False
0xca3a74f227b77930b1adfde08dbf7903f75201c2,True,False,False,True,True,False
0x847966338e9023c6a19682cc5e321516e79bc7de,False,False,False,False,True,False
0x8322c7e7c14b57ff85947f28381421692a1cf267,False,True,False,True,False,True
0x647ba6e3c85733e2d8e8e571d06f43e5b5f052a3,False,False,False,False,False,False
0x23b41b441c668185b71d84bfdd47fb94f60e90bf,False,False,False,False,False,False
0xb33aab9d99c8c197b5e3454ff295a05b62fe22e3,False,False,True,False,False,True
0x0840d6a9093c7abb613a0969a3251cf5cd051c09,False,False,False,False,False,False
0xf15af08ae811dd88adb0b88c549508816ebd002f,False,False,False,False,False,False
0x3fcbfc4594b25d54cca312b134778c9141b929c6,False,True,False,False,False,True
0x077786701b3ddb577ef3243f9f4a219465f9d5d7,False,False,False,False,False,False
0x3eefbeca06a6e7976ceb3b1304e0a4007a3a2c7c,False,False,False,False,False,False
0x5c37a208408c5adbb5ed0d29cfd4ad341ca708df,False,False,False,False,False,True
0x301e3d53729bbed9ba6c93a5a9e6ac0e21a6e03e,False,False,False,False,True,False
0x461733c17b0755ca5649b6db08b3e213fcf22546,False,True,False,False,False,True
0x8d8ff7ea7015326d7fef637e4e9461207c8ff412,False,True,True,False,False,True
0x6429d9437b9a912cc4ea1e2ef3bef0a1ea3da680,False,False,False,False,False,False
0xc6c7c0bc11d8f8b548bf89e73461e5f69de6638a,False,False,False,False,False,False
0x50c68620a583bc2760f22711e28824ee4ee059d2,False,False,False,False,True,False
0x50bb687b840895ac91e845b491701498b8b6551e,False,False,False,False,False,False
0x1f97f997a7c588e5afa147e0d5b74c403266cb20,False,False,True,False,False,True
0x11ef5ca8706bdfd2fcb320a15e19262ef7edb6c8,False,True,False,False,False,True
0x17dd8a2e22e1e90122d1113cef702dcf9ae13920,False,False,False,True,False,False
0xbca13cbebff557143e8ad089192380e9c9a58c70,False,True,False,False,False,True
0xe6a7558fb1cfcddabffb5ec9650f2a2ead767434,False,True,False,False,False,True
0x80c1a36dcbdca742f59f09fda16c43e6ad877c2b,False,False,False,False,True,False
0x0e1da7630e962ec7306581b33d99d050622262b5,False,False,False,False,False,False
0xff74d2f29acc5517d27789d127590b8fcc5bcf6d,False,True,False,False,False,True
0xf974313d48b8fbdb3f84c2f666975bd60f722b11,False,False,False,True,False,False
0xda6cb58a0d0c01610a29c5a65c303e13e885887c,False,False,False,False,False,False
0x68b58d4d4cbc86be545128dff97d7bf84edc2dc0,False,False,False,False,False,False
